epoch,loss,val_loss
0,5.1754,4.7111
1,4.8026,4.6612
2,4.7041,4.6104
3,4.6266, 4.5340
4,4.5557,4.4989
5,4.4976,4.4930
6,4.4424,4.4613
7,4.3925,4.4466
8,4.3511,4.4346
9,4.3364,4.4390
10,4.338014602661133,4.436554431915283
11,4.305614471435547,4.443343162536621
12,4.291581153869629,4.452818870544434
13,4.286312103271484,4.465932369232178
14,4.285727500915527,4.48106050491333
15,4.280808925628662,4.494967937469482
16,4.27263879776001,4.505336761474609
17,4.264709949493408,4.514510154724121
18,4.257373332977295,4.524176597595215
19,4.245502471923828,4.5326008796691895
